municipality_consumption;percent;avg_consu
Abrantes              ;50.0;204843.3809523809
Aguiar da Beira       ;58.8235294118;41553.3636363636
Alandroal             ;50.0;103497.75
Albergaria-a-Velha    ;50.0;411618.3333333333
Albufeira             ;50.0;1499510.875
Alcanena              ;50.0;150760.3076923077
Alcobaça              ;50.0;323677.0
Alcochete             ;60.0;649113.0
Alcoutim              ;50.0;36750.5
Alcácer do Sal        ;57.1428571429;291626.875
Alenquer              ;50.0;237853.5
Alfândega da Fé       ;50.0;21605.0714285714
Alijó                 ;50.0;38137.5238095238
Aljezur               ;50.0;154773.2
Aljustrel             ;50.0;229602.1428571429
Almada                ;50.0;1292695.2
Almeida               ;50.0;27368.75
Almeirim              ;50.0;284910.5
Almodôvar             ;50.0;82872.75
Alpiarça              ;50.0;495057.5
Alter do Chão         ;50.0;39829.5
Alvaiázere            ;50.0;65733.75
Alvito                ;66.6666666667;134623.75
Amadora               ;50.0;884581.5833333334
Amarante              ;50.0;103418.0833333333
Amares                ;50.0;73716.5909090909
Anadia                ;50.0;175049.3333333333
Ansião                ;50.0;104142.8333333333
Arcos de Valdevez     ;50.0;58227.3414634146
Arganil               ;50.0;59023.4117647059
Armamar               ;60.8695652174;33851.55
Arouca                ;50.0;78590.6956521739
Arraiolos             ;50.0;90270.0
Arronches             ;50.0;96798.5
Arruda dos Vinhos     ;50.0;179619.2857142857
Aveiro                ;50.0;568808.15
Avis                  ;54.5454545455;92535.6666666667
Azambuja              ;50.0;409889.7692307692
Baião                 ;50.0;57387.1666666667
Barcelos              ;51.6949152542;117318.3867924528
Barrancos             ;50.0;95580.0
Barreiro              ;50.0;699708.2857142857
Batalha               ;57.1428571429;292008.75
Beja                  ;50.0;224702.75
Belmonte              ;50.0;81252.1666666667
Benavente             ;50.0;756357.4285714285
Bombarral             ;50.0;154098.625
Borba                 ;50.0;94698.7142857143
Boticas               ;50.0;33228.0714285714
Braga                 ;50.6849315068;335624.296875
Bragança              ;50.0;84540.2826086956
Cabeceiras de Basto   ;50.0;69983.6428571429
Cadaval               ;50.0;108561.75
Caldas da Rainha      ;52.1739130435;254343.9090909091
Caminha               ;51.8518518519;94820.6666666667
Campo Maior           ;50.0;269224.6666666667
Cantanhede            ;50.0;153813.9565217391
Carrazeda de Ansiães  ;56.0;29049.2857142857
Carregal do Sal       ;50.0;157641.8571428571
Cartaxo               ;50.0;274925.7272727273
Cascais               ;50.0;2322151.875
Castanheira de Pêra   ;50.0;218590.5
Castelo Branco        ;50.0;240919.75
Castelo de Paiva      ;54.5454545455;127613.375
Castelo de Vide       ;50.0;102964.1666666667
Castro daire          ;50.0;48131.9090909091
Castro Marim          ;50.0;190371.2857142857
Castro Verde          ;50.0;131487.6
Celorico da Beira     ;55.1724137931;27114.85
Celorico de Basto     ;50.0;71106.8421052632
Chamusca              ;50.0;159603.1
Chaves                ;50.0;69019.8085106383
Cinfães               ;50.0;57262.4117647059
Coimbra               ;50.0;469146.09375
Condeixa-a-Nova       ;50.0;168057.8
Constância            ;50.0;155072.6
Coruche               ;50.0;190932.4166666667
Covilhã               ;50.0;166994.0
Crato                 ;50.0;55509.3333333333
Cuba                  ;50.0;59986.1666666667
Elvas                 ;50.0;226054.0769230769
Entroncamento         ;50.0;366490.5
Espinho               ;50.0;346561.0
Esposende             ;52.9411764706;214677.7333333333
Estarreja             ;50.0;491084.75
Estremoz              ;50.0;92485.9375
Fafe                  ;50.0;129125.8484848485
Faro                  ;50.0;891953.0
Felgueiras            ;50.0;161945.4705882353
Ferreira do Alentejo  ;50.0;419241.625
Ferreira do Zêzere    ;50.0;69416.0
Figueira da Foz       ;50.0;228638.6
Figueira de Castelo Ro;50.0;34451.0
Figueiró dos Vinhos   ;50.0;72272.8
Fornos de Algodres    ;50.0;25824.4285714286
Freixo de Espada À Cin;50.0;45177.8
Fronteira             ;50.0;58977.0
Fundão                ;50.0;96409.3793103448
Gavião                ;57.1428571429;44296.8571428571
Golegã                ;50.0;271844.2
Gondomar              ;50.0;798449.5384615385
Gouveia               ;51.6129032258;44381.65
Grândola              ;50.0;326595.0
Guarda                ;50.0;79151.3653846154
Guimarães             ;50.0;233932.4772727273
Góis                  ;50.0;64088.2
Idanha-a-Nova         ;52.0;70171.0
Lagoa                 ;50.0;661887.375
Lagos                 ;50.0;663884.125
Lamego                ;85.7142857143;72411.1481481481
Leiria                ;51.4285714286;507602.1111111111
Lisboa                ;50.0;1515062.857142857
Loulé                 ;50.0;906150.5294117647
Loures                ;50.0;977278.05
Lourinhã              ;53.3333333333;192098.2307692308
Lousada               ;50.0;140081.7916666667
Lousã                 ;50.0;300057.6666666667
Macedo de Cavaleiros  ;50.0;31123.5757575758
Mafra                 ;50.0;411743.7142857143
Maia                  ;50.0;800662.6
Mangualde             ;50.0;127839.6875
Manteigas             ;50.0;58072.0
Marco de Canaveses    ;50.0;176279.72
