municipality;average consumption;percentage smart meters
Abrantes              ;204843.3809523809;50.0
Aguiar da Beira       ;41553.3636363636;58.8235294118
Alandroal             ;103497.75;50.0
Albergaria-a-Velha    ;411618.3333333333;50.0
Albufeira             ;1499510.875;50.0
Alcanena              ;150760.3076923077;50.0
Alcobaça              ;323677.0;50.0
Alcochete             ;649113.0;60.0
Alcoutim              ;36750.5;50.0
Alcácer do Sal        ;291626.875;57.1428571429
Alenquer              ;237853.5;50.0
Alfândega da Fé       ;21605.0714285714;50.0
Alijó                 ;38137.5238095238;50.0
Aljezur               ;154773.2;50.0
Aljustrel             ;229602.1428571429;50.0
Almada                ;1292695.2;50.0
Almeida               ;27368.75;50.0
Almeirim              ;284910.5;50.0
Almodôvar             ;82872.75;50.0
Alpiarça              ;495057.5;50.0
Alter do Chão         ;39829.5;50.0
Alvaiázere            ;65733.75;50.0
Alvito                ;134623.75;66.6666666667
Amadora               ;884581.5833333334;50.0
Amarante              ;103418.0833333333;50.0
Amares                ;73716.5909090909;50.0
Anadia                ;175049.3333333333;50.0
Ansião                ;104142.8333333333;50.0
Arcos de Valdevez     ;58227.3414634146;50.0
Arganil               ;59023.4117647059;50.0
Armamar               ;33851.55;60.8695652174
Arouca                ;78590.6956521739;50.0
Arraiolos             ;90270.0;50.0
Arronches             ;96798.5;50.0
Arruda dos Vinhos     ;179619.2857142857;50.0
Aveiro                ;568808.15;50.0
Avis                  ;92535.6666666667;54.5454545455
Azambuja              ;409889.7692307692;50.0
Baião                 ;57387.1666666667;50.0
Barcelos              ;117318.3867924528;51.6949152542
Barrancos             ;95580.0;50.0
Barreiro              ;699708.2857142857;50.0
Batalha               ;292008.75;57.1428571429
Beja                  ;224702.75;50.0
Belmonte              ;81252.1666666667;50.0
Benavente             ;756357.4285714285;50.0
Bombarral             ;154098.625;50.0
Borba                 ;94698.7142857143;50.0
Boticas               ;33228.0714285714;50.0
Braga                 ;335624.296875;50.6849315068
Bragança              ;84540.2826086956;50.0
Cabeceiras de Basto   ;69983.6428571429;50.0
Cadaval               ;108561.75;50.0
Caldas da Rainha      ;254343.9090909091;52.1739130435
Caminha               ;94820.6666666667;51.8518518519
Campo Maior           ;269224.6666666667;50.0
Cantanhede            ;153813.9565217391;50.0
Carrazeda de Ansiães  ;29049.2857142857;56.0
Carregal do Sal       ;157641.8571428571;50.0
Cartaxo               ;274925.7272727273;50.0
Cascais               ;2322151.875;50.0
Castanheira de Pêra   ;218590.5;50.0
Castelo Branco        ;240919.75;50.0
Castelo de Paiva      ;127613.375;54.5454545455
Castelo de Vide       ;102964.1666666667;50.0
Castro daire          ;48131.9090909091;50.0
Castro Marim          ;190371.2857142857;50.0
Castro Verde          ;131487.6;50.0
Celorico da Beira     ;27114.85;55.1724137931
Celorico de Basto     ;71106.8421052632;50.0
Chamusca              ;159603.1;50.0
Chaves                ;69019.8085106383;50.0
Cinfães               ;57262.4117647059;50.0
Coimbra               ;469146.09375;50.0
Condeixa-a-Nova       ;168057.8;50.0
Constância            ;155072.6;50.0
Coruche               ;190932.4166666667;50.0
Covilhã               ;166994.0;50.0
Crato                 ;55509.3333333333;50.0
Cuba                  ;59986.1666666667;50.0
Elvas                 ;226054.0769230769;50.0
Entroncamento         ;366490.5;50.0
Espinho               ;346561.0;50.0
Esposende             ;214677.7333333333;52.9411764706
Estarreja             ;491084.75;50.0
Estremoz              ;92485.9375;50.0
Fafe                  ;129125.8484848485;50.0
Faro                  ;891953.0;50.0
Felgueiras            ;161945.4705882353;50.0
Ferreira do Alentejo  ;419241.625;50.0
Ferreira do Zêzere    ;69416.0;50.0
Figueira da Foz       ;228638.6;50.0
Figueira de Castelo Ro;34451.0;50.0
Figueiró dos Vinhos   ;72272.8;50.0
Fornos de Algodres    ;25824.4285714286;50.0
Freixo de Espada À Cin;45177.8;50.0
Fronteira             ;58977.0;50.0
Fundão                ;96409.3793103448;50.0
Gavião                ;44296.8571428571;57.1428571429
Golegã                ;271844.2;50.0
Gondomar              ;798449.5384615385;50.0
Gouveia               ;44381.65;51.6129032258
Grândola              ;326595.0;50.0
Guarda                ;79151.3653846154;50.0
Guimarães             ;233932.4772727273;50.0
Góis                  ;64088.2;50.0
Idanha-a-Nova         ;70171.0;52.0
Lagoa                 ;661887.375;50.0
Lagos                 ;663884.125;50.0
Lamego                ;72411.1481481481;85.7142857143
Leiria                ;507602.1111111111;51.4285714286
Lisboa                ;1515062.857142857;50.0
Loulé                 ;906150.5294117647;50.0
Loures                ;977278.05;50.0
Lourinhã              ;192098.2307692308;53.3333333333
Lousada               ;140081.7916666667;50.0
Lousã                 ;300057.6666666667;50.0
Macedo de Cavaleiros  ;31123.5757575758;50.0
Mafra                 ;411743.7142857143;50.0
Maia                  ;800662.6;50.0
Mangualde             ;127839.6875;50.0
Manteigas             ;58072.0;50.0
Marco de Canaveses    ;176279.72;50.0
Marinha Grande        ;1475859.6666666667;60.0
Marvão                ;82405.6;50.0
Matosinhos            ;2143817.25;50.0
Mação                 ;109300.75;50.0
Mealhada              ;146743.25;50.0
Melgaço               ;45322.2857142857;50.0
Mesão Frio            ;38803.0;50.0
Mira                  ;206625.5714285714;50.0
Miranda do Corvo      ;147092.8;50.0
Miranda do douro      ;35789.25;50.0
Mirandela             ;51483.7428571429;53.5714285714
Mogadouro             ;26772.3913043478;50.0
Moimenta da Beira     ;42277.2380952381;51.6129032258
Moita                 ;565022.2857142857;50.0
Monchique             ;143056.5;50.0
Mondim de Basto       ;51841.625;50.0
Monforte              ;51898.2857142857;50.0
Montalegre            ;22174.6666666667;50.0
Montemor-o-Novo       ;178709.0;50.0
Montemor-o-Velho      ;118880.2142857143;50.0
Montijo               ;667729.3;50.0
Monção                ;76887.5925925926;50.0
Mora                  ;86775.0;50.0
Mortágua              ;154607.4;50.0
Moura                 ;180052.0;50.0
Mourão                ;59328.1666666667;60.0
Murtosa               ;182726.0;50.0
Murça                 ;42705.4444444444;50.0
Mértola               ;50211.0;50.0
Mêda                  ;27277.9166666667;50.0
Nazaré                ;328941.5;50.0
Nelas                 ;134442.75;50.0
Nisa                  ;44647.0;50.0
Odemira               ;148892.2727272727;50.0
Odivelas              ;1046946.875;50.0
Oeiras                ;1770604.0;50.0
Oleiros               ;33738.4545454545;50.0
Olhão                 ;491820.375;50.0
Oliveira de Azeméis   ;559215.0;50.0
Oliveira de Frades    ;165550.1538461538;50.0
Oliveira do Bairro    ;443098.125;50.0
Oliveira do Hospital  ;69812.6818181818;50.0
Ourique               ;83357.1428571429;50.0
Ourém                 ;239400.2916666667;50.0
Ovar                  ;711950.7;50.0
Palmela               ;1096761.5;50.0
Pampilhosa da Serra   ;33921.3333333333;50.0
Paredes               ;203732.15625;51.4285714286
Paredes de Coura      ;43177.9444444444;51.6129032258
Paços de Ferreira     ;220246.5909090909;50.0
Pedrógão Grande       ;88385.5;50.0
Penacova              ;70141.1818181818;50.0
Penafiel              ;152628.875;50.0
Penalva do Castelo    ;40727.6153846154;50.0
Penamacor             ;39107.2;50.0
Penedono              ;22731.5;50.0
Penela                ;106148.6666666667;50.0
Peniche               ;502262.1428571428;50.0
Peso da Régua         ;100294.3636363636;50.0
Pinhel                ;31075.4090909091;50.0
Pombal                ;332195.0;50.0
Ponte da Barca        ;42037.1111111111;51.5151515152
Ponte de Lima         ;75640.44;54.1666666667
Ponte de Sor          ;184956.8888888889;55.5555555556
Portalegre            ;192398.5;50.0
Portel                ;55180.3333333333;50.0
Portimão              ;1280347.0;50.0
Porto                 ;2502578.5;50.0
Porto de Mós          ;159074.6666666667;50.0
Proença-a-Nova        ;108277.0;50.0
Póvoa de Lanhoso      ;70543.0344827586;50.0
Póvoa de Varzim       ;438066.4615384616;50.0
Redondo               ;237213.25;50.0
Reguengos de Monsaraz ;183901.7142857143;50.0
Resende               ;53980.75;50.0
Ribeira de Pena       ;81088.3333333333;50.0
Rio Maior             ;290828.5;50.0
Sabrosa               ;28427.375;50.0
Sabugal               ;30834.78125;50.0
Salvaterra de Magos   ;313035.75;50.0
Santa Comba Dão       ;100036.2;50.0
Santa Maria da Feira  ;396958.8333333333;50.0
Santa Marta de Penagui;36634.5;50.0
Santarém              ;354259.0588235294;50.0
Santiago do Cacém     ;210970.6;50.0
Santo Tirso           ;545340.7826086957;48.0
Sardoal               ;56685.8;50.0
Seia                  ;69869.5384615385;50.0
Seixal                ;1441922.25;50.0
Sernancelhe           ;26433.1176470588;50.0
Serpa                 ;397515.7;50.0
Sertã                 ;96705.0;50.0
Sesimbra              ;737344.0;50.0
Setúbal               ;1183678.3636363635;50.0
Sever do Vouga        ;81210.25;50.0
Silves                ;529852.2727272727;50.0
Sines                 ;980162.5;50.0
Sintra                ;1311417.5714285714;50.0
Sobral de Monte Agraço;157894.8333333333;50.0
Soure                 ;133124.3076923077;50.0
Sousel                ;95336.625;50.0
Sátão                 ;70267.2307692308;50.0
São Brás de Alportel  ;513190.5;50.0
São João da Madeira   ;1377006.0;50.0
São João da Pesqueira ;34570.9333333333;50.0
São Pedro do Sul      ;88828.8888888889;50.0
Tabuaço               ;21407.1764705882;54.1666666667
Tarouca               ;62179.0;50.0
Tavira                ;377112.1;50.0
Terras de Bouro       ;39116.8666666667;58.3333333333
Tomar                 ;195771.9411764706;50.0
Tondela               ;128037.375;50.0
Torre de Moncorvo     ;33900.8666666667;52.0
Torres Novas          ;256401.5263157895;50.0
Torres Vedras         ;397068.44;50.0
Trancoso              ;35802.3913043478;52.5
Trofa                 ;644049.7;50.0
Tábua                 ;67139.7142857143;50.0
Vagos                 ;233870.3846153846;50.0
Vale de Cambra        ;335936.2;50.0
Valença               ;116193.0555555556;50.0
Valongo               ;1016089.0;50.0
Valpaços              ;34896.4193548387;50.0
Vendas Novas          ;425021.75;50.0
Viana do Alentejo     ;137729.6;50.0
Viana do Castelo      ;256464.5238095238;50.9433962264
Vidigueira            ;88016.625;50.0
Vieira do Minho       ;42923.7;50.0
Vila de Rei           ;86269.5;50.0
Vila do Bispo         ;148438.1428571429;50.0
Vila do Conde         ;263623.3947368421;50.0
Vila Flor             ;27020.7647058824;51.8518518519
